                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4968,                   3.08,                 1.2373,                0.83005,                0.81353,                0.87392,                0.56289,                 1.2564,                 1.1914,                  1.146,             0.00022135,             0.00022135,             0.00022135
                      2,                 1.2641,                 1.4789,                 1.1145,                0.91842,                0.90628,                0.95729,                0.67342,                 1.0581,                0.77129,                 1.0274,              0.0004349,              0.0004349,              0.0004349
                      3,                 1.2031,                 1.0774,                 1.0867,                0.88932,                0.83088,                0.92709,                0.63907,                 1.1102,                0.83245,                   1.07,             0.00063964,             0.00063964,             0.00063964
                      4,                 1.1717,                0.89624,                 1.0764,                0.94251,                0.90578,                0.95451,                0.67669,                 1.0373,                0.67324,                   1.03,             0.00062738,             0.00062738,             0.00062738
                      5,                 1.1053,                0.75112,                 1.0516,                0.95092,                0.95014,                0.97898,                0.73301,                0.94033,                0.57598,                0.99107,             0.00061417,             0.00061417,             0.00061417
                      6,                 1.0666,                0.69988,                 1.0344,                 0.9472,                0.94261,                0.97479,                0.72138,                 0.9673,                0.55866,                 0.9932,             0.00060097,             0.00060097,             0.00060097
                      7,                 1.0393,                0.65235,                 1.0224,                0.94041,                0.92752,                0.96555,                0.72432,                0.91977,                0.54668,                0.97338,             0.00058776,             0.00058776,             0.00058776
                      8,                0.99603,                0.61298,                 1.0073,                0.97148,                0.96964,                  0.983,                0.74777,                0.90242,                0.49786,                0.96926,             0.00057455,             0.00057455,             0.00057455
                      9,                0.97717,                 0.5925,                  1.001,                0.96422,                0.96925,                0.98559,                0.75941,                0.85624,                0.48141,                0.94491,             0.00056135,             0.00056135,             0.00056135
                     10,                 0.9461,                 0.5639,                0.98651,                0.97274,                0.96685,                0.98684,                 0.7646,                0.87914,                0.47593,                0.94808,             0.00054814,             0.00054814,             0.00054814
                     11,                0.93057,                0.54874,                0.98488,                0.97772,                 0.9807,                0.98793,                 0.7845,                0.83695,                0.45233,                 0.9435,             0.00053493,             0.00053493,             0.00053493
                     12,                0.90985,                 0.5375,                0.97722,                 0.9824,                0.98061,                0.98911,                0.78943,                0.79728,                 0.4352,                0.92545,             0.00052173,             0.00052173,             0.00052173
                     13,                 0.8888,                0.51353,                0.96727,                0.98579,                0.98277,                0.99054,                0.79287,                 0.8062,                0.41973,                0.92898,             0.00050852,             0.00050852,             0.00050852
                     14,                0.87939,                0.51164,                0.96326,                0.97661,                0.98189,                0.99059,                0.80323,                 0.7707,                0.41923,                0.91393,             0.00049531,             0.00049531,             0.00049531
                     15,                0.87164,                0.49928,                0.95923,                0.97525,                0.97146,                0.99172,                0.79484,                 0.7816,                0.43211,                0.91709,             0.00048211,             0.00048211,             0.00048211
                     16,                0.85227,                0.48957,                0.95368,                  0.972,                0.98752,                0.99022,                0.79907,                0.78403,                0.40745,                0.91328,              0.0004689,              0.0004689,              0.0004689
                     17,                0.84111,                0.48182,                0.94839,                0.98112,                 0.9878,                0.99176,                0.80795,                0.76122,                0.39489,                0.90902,             0.00045569,             0.00045569,             0.00045569
                     18,                0.83176,                0.47464,                0.94525,                0.97822,                0.98833,                0.99172,                0.82249,                0.72608,                0.39079,                0.90158,             0.00044249,             0.00044249,             0.00044249
                     19,                0.82253,                0.46442,                0.94012,                0.98814,                0.98841,                0.99185,                0.82122,                0.73752,                0.37982,                0.90072,             0.00042928,             0.00042928,             0.00042928
                     20,                0.81014,                0.45407,                   0.94,                 0.9888,                 0.9864,                0.99175,                0.81744,                0.73131,                 0.3753,                 0.8994,             0.00041607,             0.00041607,             0.00041607
                     21,                0.79896,                0.44946,                 0.9319,                0.98892,                0.98946,                0.99224,                0.82621,                0.72144,                0.37682,                0.89671,             0.00040287,             0.00040287,             0.00040287
                     22,                0.78978,                0.44479,                  0.931,                0.98958,                0.99135,                0.99281,                0.82385,                0.71324,                0.37098,                0.89496,             0.00038966,             0.00038966,             0.00038966
                     23,                0.77932,                0.43444,                0.92656,                0.98924,                0.99214,                0.99301,                 0.8305,                0.68867,                0.36238,                0.88849,             0.00037645,             0.00037645,             0.00037645
                     24,                0.76656,                 0.4271,                 0.9227,                0.99314,                0.99055,                0.99257,                0.83334,                0.68993,                0.35767,                0.88823,             0.00036325,             0.00036325,             0.00036325
                     25,                0.74836,                0.41835,                0.91836,                0.98944,                0.99239,                0.99276,                 0.8305,                0.69088,                0.35856,                0.88251,             0.00035004,             0.00035004,             0.00035004
                     26,                0.75294,                0.41983,                0.91617,                0.98895,                0.98705,                0.99096,                0.83549,                0.67771,                0.35177,                0.88534,             0.00033683,             0.00033683,             0.00033683
                     27,                0.74592,                0.41623,                0.91324,                0.99194,                0.98892,                0.99187,                0.84713,                0.66393,                 0.3429,                0.87681,             0.00032363,             0.00032363,             0.00032363
                     28,                0.73061,                0.40929,                0.91198,                0.98995,                0.99219,                0.99221,                  0.841,                0.67253,                0.34217,                0.88807,             0.00031042,             0.00031042,             0.00031042
                     29,                0.72392,                0.40397,                 0.9072,                0.99156,                0.99449,                0.99283,                0.84572,                0.66092,                0.33551,                0.87401,             0.00029722,             0.00029722,             0.00029722
                     30,                0.70585,                0.39512,                0.90394,                0.99261,                0.99136,                 0.9932,                0.84969,                0.64883,                0.33458,                0.87452,             0.00028401,             0.00028401,             0.00028401
